NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	Details ...	30	-0.3904416	-2.5620086	0.0	0.024158716	0.022	222	tags=80%, list=42%, signal=130%	
GOBP_REGULATION_OF_CELL_DEATH	GOBP_REGULATION_OF_CELL_DEATH	Details ...	43	-0.28815904	-2.2380233	0.0027027028	0.08495456	0.149	222	tags=70%, list=42%, signal=110%	
GOBP_CELLULAR_RESPONSE_TO_STRESS	GOBP_CELLULAR_RESPONSE_TO_STRESS	Details ...	29	-0.29837632	-1.9890624	0.011049724	0.28863668	0.547	284	tags=83%, list=54%, signal=169%	
GOMF_CYTOSKELETAL_PROTEIN_BINDING	GOMF_CYTOSKELETAL_PROTEIN_BINDING	Details ...	22	-0.3309564	-1.8939798	0.016509434	0.36000967	0.746	137	tags=59%, list=26%, signal=76%	
GOBP_PROGRAMMED_CELL_DEATH	GOBP_PROGRAMMED_CELL_DEATH	Details ...	48	-0.22862345	-1.8612907	0.0127795525	0.34162435	0.806	222	tags=65%, list=42%, signal=101%	
GOBP_ACTIN_FILAMENT_BASED_PROCESS	GOBP_ACTIN_FILAMENT_BASED_PROCESS	Details ...	17	-0.34051466	-1.7463737	0.021479713	0.5334059	0.961	156	tags=65%, list=29%, signal=89%	
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	Details ...	27	-0.27943394	-1.7376719	0.02356021	0.47575128	0.963	222	tags=70%, list=42%, signal=115%	
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	GOBP_MACROMOLECULE_CATABOLIC_PROCESS	Details ...	24	-0.2900812	-1.7313273	0.017632242	0.42865187	0.967	265	tags=79%, list=50%, signal=151%	
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	Details ...	15	-0.366066	-1.7261913	0.019900497	0.38981256	0.972	154	tags=67%, list=29%, signal=91%	
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	Details ...	21	-0.30878142	-1.7256333	0.02184466	0.35196456	0.972	210	tags=71%, list=40%, signal=114%	
HP_MOTOR_DELAY	HP_MOTOR_DELAY	Details ...	15	-0.36427185	-1.7188014	0.026570048	0.3314481	0.975	268	tags=87%, list=51%, signal=170%	
GOCC_SUPRAMOLECULAR_POLYMER	GOCC_SUPRAMOLECULAR_POLYMER	Details ...	17	-0.3355856	-1.7156099	0.030588236	0.30927238	0.975	190	tags=71%, list=36%, signal=107%	
GOMF_ACTIN_BINDING	GOMF_ACTIN_BINDING	Details ...	17	-0.32435417	-1.6808649	0.037128713	0.34103754	0.985	137	tags=59%, list=26%, signal=77%	
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	Details ...	30	-0.2566987	-1.6771511	0.029649595	0.32290268	0.985	94	tags=43%, list=18%, signal=50%	
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	Details ...	43	-0.20574805	-1.6472456	0.043956045	0.3493814	0.99	222	tags=63%, list=42%, signal=99%	
GOCC_SUPRAMOLECULAR_COMPLEX	GOCC_SUPRAMOLECULAR_COMPLEX	Details ...	21	-0.29782337	-1.6410744	0.04359673	0.33799198	0.991	190	tags=67%, list=36%, signal=100%	
