sample_id	Tumor_type	cna	base_segments	break_points	fga	Sample Type	HRD34
TCGA-WK-A8XT-01A-11D-A37B-01	Synovial Sarcoma	22	201441853	56	0.070110461	Primary Tumor	Low
TCGA-WK-A8XT-10A-01D-A37E-01	Synovial Sarcoma	10	76407	26	2.66E-05	Blood Derived Normal	None
TCGA-DX-AB3C-01A-11D-A416-01	Synovial Sarcoma	41	284839287	128	0.099101909	Primary Tumor	Low
TCGA-DX-AB3C-10A-01D-A419-01	Synovial Sarcoma	78	903332	192	0.000312551	Blood Derived Normal	None
TCGA-DX-A7EO-01A-11D-A36I-01	Synovial Sarcoma	12	259874140	32	0.090447525	Primary Tumor	Low
TCGA-DX-A7EO-10A-01D-A36L-01	Synovial Sarcoma	9	95172	28	3.31E-05	Blood Derived Normal	None
TCGA-DX-A7ER-01A-11D-A36I-01	Synovial Sarcoma	13	1888398	38	0.000654875	Primary Tumor	Low
TCGA-DX-A7ER-01A-11D-A40C-01	Synovial Sarcoma	20	1239105	64	0.00042995	Primary Tumor	Low
TCGA-DX-A7ER-01A-11D-A36I-01	Synovial Sarcoma	13	1888398	38	0.000654875	Primary Tumor	Low
TCGA-DX-A7ER-01A-11D-A40C-01	Synovial Sarcoma	20	1239105	64	0.00042995	Primary Tumor	Low
TCGA-DX-A7ER-10A-01D-A36L-01	Synovial Sarcoma	10	1177105	22	0.000408841	Blood Derived Normal	None
TCGA-DX-A7ER-01A-11D-A36I-01	Synovial Sarcoma	13	1888398	38	0.000654875	Primary Tumor	Low
TCGA-DX-A7ER-01A-11D-A40C-01	Synovial Sarcoma	20	1239105	64	0.00042995	Primary Tumor	Low
TCGA-DX-A7ER-01A-11D-A36I-01	Synovial Sarcoma	13	1888398	38	0.000654875	Primary Tumor	Low
TCGA-DX-A7ER-01A-11D-A40C-01	Synovial Sarcoma	20	1239105	64	0.00042995	Primary Tumor	Low
TCGA-DX-A7ER-10A-01D-A36L-01	Synovial Sarcoma	10	1177105	22	0.000408841	Blood Derived Normal	None
TCGA-Z4-AAPF-10A-01D-A38Y-01	Synovial Sarcoma	23	144465	54	4.83E-05	Blood Derived Normal	None
TCGA-Z4-AAPF-01A-11D-A38Y-01	Synovial Sarcoma	37	1233272499	234	0.409205466	Primary Tumor	Low
TCGA-FX-A8OO-10A-01D-A36L-01	Synovial Sarcoma	13	118235	32	4.10E-05	Blood Derived Normal	None
TCGA-FX-A8OO-01A-11D-A36I-01	Synovial Sarcoma	9	101105263	28	0.035189037	Primary Tumor	Low
TCGA-DX-AB3B-01A-11D-A416-01	Synovial Sarcoma	46	160667684	132	0.055698311	Primary Tumor	Low
TCGA-DX-AB3B-10A-01D-A419-01	Synovial Sarcoma	26	182897	56	6.18E-05	Blood Derived Normal	None
TCGA-X6-A8C7-10A-01D-A36L-01	Synovial Sarcoma	10	66515	28	2.32E-05	Blood Derived Normal	None
TCGA-X6-A8C7-01A-11D-A36I-01	Synovial Sarcoma	36	106628217	74	0.03711012	Primary Tumor	Low
TCGA-DX-A7EQ-11B-01D-A389-01	Synovial Sarcoma	11	68795	34	2.29E-05	Solid Tissue Normal	None
TCGA-DX-A7EQ-01A-11D-A386-01	Synovial Sarcoma	11	43139270	34	0.015014288	Primary Tumor	Low
