sample_id	Tumor_type	cna	base_segments	break_points	fga	Sample Type	HRD34
TCGA-JV-A5VE-01A-11D-A29M-01	Leiomyosarcoma Uterus (LMS)	193	1215975405	664	0.423169782	Primary Tumor	High
TCGA-JV-A5VE-10A-01D-A29M-01	Leiomyosarcoma Uterus (LMS)	12	868438	30	0.000302254	Blood Derived Normal	None
TCGA-HS-A5N8-10A-01D-A26F-01	Leiomyosarcoma Uterus (LMS)	17	742879	38	0.000239683	Blood Derived Normal	None
TCGA-HS-A5N8-01A-11D-A26F-01	Leiomyosarcoma Uterus (LMS)	130	1808609560	516	0.629474941	Primary Tumor	High
TCGA-IW-A3M5-01A-22D-A21P-01	Leiomyosarcoma Uterus (LMS)	211	1711823230	806	0.589740953	Primary Tumor	High
TCGA-IW-A3M5-10A-01D-A21P-01	Leiomyosarcoma Uterus (LMS)	11	242558	30	8.44E-05	Blood Derived Normal	None
TCGA-FX-A48G-10A-01D-A24M-01	Leiomyosarcoma Uterus (LMS)	5	906072	22	0.000295205	Blood Derived Normal	None
TCGA-FX-A48G-11A-12D-A24M-01	Leiomyosarcoma Uterus (LMS)	7	909667	18	0.000295804	Solid Tissue Normal	None
TCGA-FX-A48G-01A-11D-A24M-01	Leiomyosarcoma Uterus (LMS)	210	1575936679	808	0.547818043	Primary Tumor	High
TCGA-K1-A3PN-02A-11D-A227-01	Leiomyosarcoma Uterus (LMS)	43	580961822	142	0.202200031	Recurrent Tumor	Low
TCGA-K1-A3PN-01A-11D-A227-01	Leiomyosarcoma Uterus (LMS)	39	489463645	98	0.170354678	Primary Tumor	Low
TCGA-K1-A3PN-10A-01D-A229-01	Leiomyosarcoma Uterus (LMS)	17	60766	46	2.11E-05	Blood Derived Normal	None
TCGA-K1-A3PN-02A-11D-A227-01	Leiomyosarcoma Uterus (LMS)	43	580961822	142	0.202200031	Recurrent Tumor	Low
TCGA-K1-A3PN-01A-11D-A227-01	Leiomyosarcoma Uterus (LMS)	39	489463645	98	0.170354678	Primary Tumor	Low
TCGA-K1-A3PN-10A-01D-A229-01	Leiomyosarcoma Uterus (LMS)	17	60766	46	2.11E-05	Blood Derived Normal	None
TCGA-FX-A76Y-01A-11D-A350-01	Leiomyosarcoma Uterus (LMS)	58	279234281	212	0.097185698	Primary Tumor	Low
TCGA-FX-A76Y-10A-01D-A350-01	Leiomyosarcoma Uterus (LMS)	17	157112	44	4.14E-05	Blood Derived Normal	None
TCGA-K1-A42X-11A-11D-A24M-01	Leiomyosarcoma Uterus (LMS)	38	234992	94	7.99E-05	Solid Tissue Normal	None
