id	filename	md5	size	state
009e2bf8-5728-4d91-9138-20541d109174	009e2bf8-5728-4d91-9138-20541d109174/MACON_p_TCGASNP_218_AML_PP_N_GenomeWideSNP_6_C01_1040050.nocnv_grch38.seg.v2.txt	4ba449f98f1c80c1bc01beda80ce0e58	19381	validated
00ceee1b-de79-4115-a9c6-c79a9284bde4	00ceee1b-de79-4115-a9c6-c79a9284bde4/HONGS_p_TCGAb3_75_76_77_NSP_GenomeWideSNP_6_H08_1438204.nocnv_grch38.seg.v2.txt	3e8c9bf32bd605019016330e58e1741a	84499	validated
00f23d8e-2001-4e8f-8510-660b328e3ea1	00f23d8e-2001-4e8f-8510-660b328e3ea1/DLP_REDO_FROM_TAZZA_B08.nocnv_grch38.seg.v2.txt	27d54b7001e11bb1761d2abce6bcdb08	6732	validated
01adee33-62ea-41e3-843b-2d1baa2e327c	01adee33-62ea-41e3-843b-2d1baa2e327c/CUBES_p_TCGAb_425_426_427_NSP_GenomeWideSNP_6_F08_1514038.nocnv_grch38.seg.v2.txt	35366d483e81073ec845c7311eb2acf9	5266	validated
032103a1-8f7b-413f-b3fd-61ee3d7414d0	032103a1-8f7b-413f-b3fd-61ee3d7414d0/VISTA_p_TCGAb_383_384_NSP_GenomeWideSNP_6_B02_1464912.nocnv_grch38.seg.v2.txt	d95cea1f8625368bf65b36a48a4ba4f2	2641	validated
041a38e6-c63c-440d-bea4-66d88b4144ab	041a38e6-c63c-440d-bea4-66d88b4144ab/VISTA_p_TCGAb_383_384_NSP_GenomeWideSNP_6_C01_1464968.nocnv_grch38.seg.v2.txt	e2ded9993343df1ac5cdbebc55ed0c07	4544	validated
05448529-9952-464c-89c0-cf1dec30cb4d	05448529-9952-464c-89c0-cf1dec30cb4d/PRION_p_TCGAb_410_11_12_13_NSP_GenomeWideSNP_6_C05_1486614.nocnv_grch38.seg.v2.txt	34a6a2f0d4581b0aaa30eec08ba110a2	14318	validated
056f7a2d-1f5f-4a13-9c9a-1255dd42a68f	056f7a2d-1f5f-4a13-9c9a-1255dd42a68f/TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_C01_1387960.nocnv_grch38.seg.v2.txt	051eacf77da0dbdc4e9748a9c45435cf	3752	validated
0782e375-9795-4d35-8a02-a78f6c1a8f81	0782e375-9795-4d35-8a02-a78f6c1a8f81/BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_E01_1344762.nocnv_grch38.seg.v2.txt	d10c7c235b0fd7444eab7e42bd1716bf	23753	validated
0855ac06-74b9-4101-b2a7-ee61208990be	0855ac06-74b9-4101-b2a7-ee61208990be/MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_F12_1377512.nocnv_grch38.seg.v2.txt	30baac2683fd7ceb96fc4f367d80d094	2632	validated
095f413a-1386-466e-9c7f-ac51f6125eb7	095f413a-1386-466e-9c7f-ac51f6125eb7/SNOWS_p_TCGA_Batch_309_310_NSP_GenomeWideSNP_6_E08_1362058.nocnv_grch38.seg.v2.txt	9f0d5332bbfd9c08ee6dbb255eed3e2f	53008	validated
0a5a0fad-b629-41c4-9559-e6b75bbc8a54	0a5a0fad-b629-41c4-9559-e6b75bbc8a54/MACON_p_TCGASNP_218_AML_PP_N_GenomeWideSNP_6_D11_1040016.nocnv_grch38.seg.v2.txt	d48d7c224e7e1355f3e251ec7bd8228c	44214	validated
0b1e2c46-5382-4e00-90e7-e9ec72fd1c7d	0b1e2c46-5382-4e00-90e7-e9ec72fd1c7d/YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_A08_1306222.nocnv_grch38.seg.v2.txt	71b546a9274bb312ca239c37f6ecb67e	4419	validated
0b2df5d5-2b08-4f34-b999-d5c8626ac2ec	0b2df5d5-2b08-4f34-b999-d5c8626ac2ec/VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G09_1362512.nocnv_grch38.seg.v2.txt	140584b6a5b6cf3893a12f5ff14adf58	7721	validated
0b3781c9-7b97-48aa-8448-1ac19ed7cff6	0b3781c9-7b97-48aa-8448-1ac19ed7cff6/SNOWS_p_TCGA_Batch_309_310_NSP_GenomeWideSNP_6_F03_1362106.nocnv_grch38.seg.v2.txt	4ae0381d081899405738be145a216a3b	19655	validated
0b3f3c9d-3424-467e-b419-64316f18a564	0b3f3c9d-3424-467e-b419-64316f18a564/VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_G05_1362394.nocnv_grch38.seg.v2.txt	a85229718a71122956dd11ed954305f8	3053	validated
0b781970-279c-400f-98ef-88aebeef36eb	0b781970-279c-400f-98ef-88aebeef36eb/VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_F05_1362426.nocnv_grch38.seg.v2.txt	3816d65a4750d8e417f8ad1e65a014f9	30054	validated
0d65fb6e-0b48-4949-b597-3d315765f860	0d65fb6e-0b48-4949-b597-3d315765f860/THREW_p_TCGAb_329_335_336_NSP_GenomeWideSNP_6_G04_1367204.nocnv_grch38.seg.v2.txt	b8ba6589c202fbd3dd162e9951461a77	6887	validated
0eaefd1d-7f59-4393-8ca7-09216d5ebf7f	0eaefd1d-7f59-4393-8ca7-09216d5ebf7f/PRION_p_TCGAb_410_11_12_13_NSP_GenomeWideSNP_6_E11_1486636.nocnv_grch38.seg.v2.txt	5cb8e0949f024e572cb16685c535a2ba	25729	validated
0ee2b9f9-5634-43c8-b49c-5f2a2559dee9	0ee2b9f9-5634-43c8-b49c-5f2a2559dee9/VIBES_p_TCGA_290_291_292_293_S_GenomeWideSNP_6_F07_1362564.nocnv_grch38.seg.v2.txt	ab2d127228515d1d4aefda7f94f171a9	4305	validated
0eea5681-320c-499f-9d11-1f992de67afa	0eea5681-320c-499f-9d11-1f992de67afa/YOGIN_p_TCGA_4_262_263_N_GenomeWideSNP_6_A12_1306262.nocnv_grch38.seg.v2.txt	9d1aa0108957e48e7925b70250c182a7	9338	validated
0f0d8ae6-81a5-4420-9770-441fb8dd3239	0f0d8ae6-81a5-4420-9770-441fb8dd3239/TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_D02_1387848.nocnv_grch38.seg.v2.txt	4176f662988d8041df64fa9354dec94f	4794	validated
0fa2047f-43f6-4d62-8295-eddfb7a47bf2	0fa2047f-43f6-4d62-8295-eddfb7a47bf2/HONGS_p_TCGAb3_75_76_77_NSP_GenomeWideSNP_6_E07_1438268.nocnv_grch38.seg.v2.txt	b158710490a488b427c9de407a9a3a73	4714	validated
0ff766ab-a276-4370-a091-f7eac0092caa	0ff766ab-a276-4370-a091-f7eac0092caa/MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_G05_1377410.nocnv_grch38.seg.v2.txt	0f96bf3ee465945c3ec6e73acf1184d0	13221	validated
1046e06d-a5d4-481f-a930-664c87b5fd28	1046e06d-a5d4-481f-a930-664c87b5fd28/VISTA_p_TCGAb_383_384_NSP_GenomeWideSNP_6_B01_1464886.nocnv_grch38.seg.v2.txt	7982634f3446187b96c6a226caeb12f8	27513	validated
10d12108-926b-470b-af79-0b0bca02ed92	10d12108-926b-470b-af79-0b0bca02ed92/PRION_p_TCGAb_410_11_12_13_NSP_GenomeWideSNP_6_E04_1486586.nocnv_grch38.seg.v2.txt	2e54397844e100049473ed4708cad87b	78668	validated
124e8989-8124-48de-84ef-0c36a7991e1f	124e8989-8124-48de-84ef-0c36a7991e1f/MACON_p_TCGASNP_218_AML_PP_N_GenomeWideSNP_6_A04_1040156.nocnv_grch38.seg.v2.txt	ab98d2c6806232ed05da7efc2c502e79	4437	validated
