ensembl	f65571bf-793a-43d5-93aa-c85bac4dca56.htseq.counts	0b3957f2-b010-44ef-8376-455427a5e158.htseq.counts	01ddf9de-8532-4a68-af48-fec5bed7e78d.htseq.counts	254023bc-c2bd-4d26-8f62-b18e2906037d.htseq.counts	4a7fa98b-c6cb-48a9-909e-41a7efde10b2.htseq.counts	14aa3bdb-5c34-4fb4-91b8-876faf41674d.htseq.counts	cb26f33d-b1b7-411a-9f21-7e3ea98694d9.htseq.counts	9a2b0bc5-8882-4aba-ac8a-51b1484b66ea.htseq.counts	fd700b77-843b-49a6-800d-545b5f2bab90.htseq.counts	f10cc48c-4566-41fd-8dbf-66393ee09d70.htseq.counts
ENSG00000000003	2218	1657	1813	1089	15582	1941	1373	5611	2101	7109
ENSG00000000005	1	4	354	0	65118	7	9	49423	2	198
ENSG00000000419	2866	2307	1413	1596	2351	1054	1423	1628	3184	2985
ENSG00000000457	776	552	855	359	1161	501	702	802	687	589
ENSG00000000460	607	333	269	206	1025	362	461	318	1362	723
ENSG00000000938	254	934	220	1086	131	808	1021	119	705	289
ENSG00000000971	6182	4942	15659	324	17299	1425	5410	16601	3105	1387
ENSG00000001036	6671	6882	2328	9112	4392	2648	4775	4625	4528	3069
ENSG00000001084	1801	411	1536	598	1228	1016	1218	1238	1283	1317
ENSG00000001167	1791	1461	1574	469	2724	957	1823	2915	1330	2491
ENSG00000001460	244	293	496	361	452	835	515	47	638	308
ENSG00000001461	409	3995	1375	3800	1471	4871	4648	825	1730	523
ENSG00000001497	3408	2717	1910	2882	3028	2083	2216	2928	3033	2351
ENSG00000001561	100	2289	1144	196	183	1136	522	582	723	99
ENSG00000001617	1724	2044	4764	884	15269	449	1750	7938	1407	1716
ENSG00000001626	75	15	82	5	150	21	4	91	423	9
ENSG00000001629	3045	3481	4461	3643	7307	2596	4023	3662	2048	2076
ENSG00000001630	126	374	250	105	403	251	385	277	86	111
ENSG00000001631	1372	1737	3092	1931	5383	1297	1290	2125	861	673
ENSG00000002016	531	516	1123	689	1818	410	549	732	191	348
ENSG00000002079	4	5	19	19	7	1	2	16	980	9
ENSG00000002330	1864	3394	1326	4742	2659	3123	1381	1905	1325	1969
ENSG00000002549	4420	10837	2719	5242	2729	7222	10057	4569	9628	3356
ENSG00000002586	17787	12237	11586	8090	28255	13796	10668	31549	15731	20565
ENSG00000002587	503	691	1337	71	330	356	346	126	7634	438
ENSG00000002726	12	3	18	9	29	6	2	21	55	3
ENSG00000002745	10	4	11	9	353	9	7	107	8	16
ENSG00000002746	88	9	1693	13	1422	4	1	202	348	196
ENSG00000002822	3706	3498	1527	2460	4719	2760	2315	2447	4452	2438
ENSG00000002834	12563	20312	9659	15922	19462	11861	24226	16427	24532	8355
ENSG00000002919	1055	2732	1184	1797	1413	1346	2027	1070	1986	1158
ENSG00000002933	1255	2711	853	5464	2822	3091	1513	15844	2530	696
ENSG00000003056	4113	6752	2431	2984	3200	2522	5559	3578	4233	2241
ENSG00000003096	841	416	313	179	905	697	165	638	61	631
ENSG00000003137	1408	1057	8966	647	10468	17	1387	2082	594	1576
ENSG00000003147	89	485	1237	166	1342	578	647	525	366	313
ENSG00000003249	26	217	818	1040	271	5288	264	179	2672	169
ENSG00000003393	1372	2912	2508	1515	2159	2173	4002	1968	903	1894
ENSG00000003400	285	1324	446	488	561	581	1182	710	831	283
ENSG00000003402	2072	7337	5368	3805	4715	4662	6165	4184	4220	2678
ENSG00000003436	1860	2693	6148	1956	1256	256	1633	2773	4614	3427
ENSG00000003509	573	800	834	747	730	604	737	784	554	588
ENSG00000003756	5871	4454	7316	3086	10072	5228	5559	8929	4527	5251
ENSG00000003987	52	143	51	134	34	84	41	44	40	78
ENSG00000003989	1190	1174	2682	159	395	79	550	2500	613	432
ENSG00000004059	6338	5298	6296	11322	7708	7462	6425	7368	3300	4413
ENSG00000004139	456	794	1237	371	554	421	535	945	680	277
ENSG00000004142	4969	6376	4485	6112	5033	3959	5478	6005	4535	2979
ENSG00000004399	11142	26198	10239	13317	6464	8445	27632	7382	11400	16672
ENSG00000004455	4495	11302	1985	6245	3275	6294	5731	3132	5697	4565
ENSG00000004468	13	545	404	233	234	190	1978	103	1320	60
ENSG00000004478	7932	5599	3277	10307	10939	2705	3763	7291	9328	3568
ENSG00000004487	5780	3902	2878	3405	5496	2695	3248	3489	5388	12759
ENSG00000004534	6029	3944	4729	3092	8394	5482	3587	7445	5087	4252
ENSG00000004660	767	1142	1353	1050	764	500	522	582	382	494
ENSG00000004700	3100	2692	1078	604	4337	885	2499	1715	2894	1900
ENSG00000004766	1129	1425	1860	1085	3285	978	1174	1071	719	503
ENSG00000004776	1092	138	8569	51	5798	668	354	1776	101	4134
ENSG00000004777	973	437	1091	1146	1698	1743	483	1322	1492	3565
