IGF1R	-0.000405144
PKCA	-0.001357163
PRAS40	-0.001517466
JAG1	-0.001542354
BID	-0.001924533
CD45	-0.0025945
BIM	-0.005243092
TAZ	-0.005462056
DAPK2	-0.005644782
BCL2A1	-0.005990522
Atg4B	-0.006218986
GSK3	-0.006614917
GATA3	-0.006642366
PRDX1	-0.006942028
H2AX	-0.00777032
TRIM24	-0.007815742
CD44	-0.007878501
CABL	-0.008862667
CMET	-0.011417227
NRAS	-0.012389916
Atg5	-0.012543724
TIGAR	-0.014607831
BAP1C4	-0.016966693
MEK2	-0.017099493
FRS2	-0.01781013
BAD_pS112	-0.017953325
ATR	-0.020146429
ASNS	-0.020272294
MLH1	-0.024354072
CIITA	-0.025066032
HER2	-0.02564323
RAB11	-0.025872606
