NAMES	DESCRIPTION	f65571bf-793a-43d5-93aa-c85bac4dca56.htseq.counts	0b3957f2-b010-44ef-8376-455427a5e158.htseq.counts	01ddf9de-8532-4a68-af48-fec5bed7e78d.htseq.counts	254023bc-c2bd-4d26-8f62-b18e2906037d.htseq.counts	4a7fa98b-c6cb-48a9-909e-41a7efde10b2.htseq.counts	14aa3bdb-5c34-4fb4-91b8-876faf41674d.htseq.counts	cb26f33d-b1b7-411a-9f21-7e3ea98694d9.htseq.counts	9a2b0bc5-8882-4aba-ac8a-51b1484b66ea.htseq.counts	fd700b77-843b-49a6-800d-545b5f2bab90.htseq.counts	f10cc48c-4566-41fd-8dbf-66393ee09d70.htseq.counts
TSPAN6		2146.055713	1460.467142	1752.081658	1319.36385	11638.88467	2171.992885	1356.334366	5041.721394	2275.624168	8186.805224
TNMD		0.967563442	3.525569443	342.105299	0	48639.51304	7.833050075	8.890756952	44408.66093	2.166229574	228.0190511
DPM1		2773.036824	2033.372176	1365.521998	1933.613136	1756.065837	1179.43354	1405.72746	1462.827024	3448.637482	3437.559937
SCYL3		750.8292307	486.5285831	826.2712729	434.9418018	867.2022273	560.622584	693.4790422	720.6310031	744.0998588	678.2990965
C1orf112		587.311009	293.5036561	259.9613712	249.5766328	765.6178148	405.0805896	455.4043283	285.7364825	1475.20234	832.61502
FGR		245.7611142	823.2204648	212.6078129	1315.729239	97.84969145	904.1577801	1008.606983	106.9265453	763.5959249	332.8156857
CFH		5981.477196	4355.841046	15132.84428	392.538005	12921.38788	1594.585194	5344.33279	14916.70235	3363.071414	1597.284969
FUCA2		6454.615719	6065.742226	2249.77722	11039.52562	3280.578968	2963.130943	4717.040494	4155.75859	4904.343756	3534.295292
GCLC		1742.581758	362.2522602	1484.389094	724.4991573	917.2474893	1136.911268	1203.215774	1112.395489	1389.636272	1516.672173
NFYA		1732.906124	1287.714239	1521.112262	568.2108775	2034.676027	1070.889846	1800.872214	2619.25109	1440.542667	2868.663921
STPG1		236.0854797	258.2479617	479.3339782	437.3648759	337.6187827	934.3709733	508.74887	42.2314927	691.0272342	354.6963017
NIPAL3		395.7334476	3521.162481	1328.798831	4603.840799	1098.754932	5450.683845	4591.582035	741.2974782	1873.788582	602.2927461
LAS1L		3297.456209	2394.743044	1845.822376	3491.649785	2261.747067	2330.891901	2189.101934	2630.932141	3285.087149	2707.438329
ENPP4		96.75634416	2017.507113	1105.560627	237.4612623	136.6907903	1271.192127	515.6639032	522.9516756	783.0919911	114.0095256
SEMA3F		1668.079373	1801.565985	4603.925549	1070.998754	11405.09114	502.434212	1728.758296	7132.629554	1523.942506	1976.16511
CFTR		72.56725812	13.22088541	79.24473027	6.057685262	112.0416314	23.49915023	3.951447534	81.76735821	458.157555	10.36450232
ANKIB1		2946.23068	3068.126807	4311.106606	4413.629482	5457.921339	2904.942571	3974.168357	3290.462261	2218.219084	2390.745203
CYP51A1		121.9129936	329.6407429	241.5997874	127.2113905	301.0185164	280.8707956	380.3268252	248.8962442	93.14787169	127.828862
KRIT1		1327.497042	1530.97853	2988.106171	2339.478048	4020.80068	1451.352278	1274.34183	1909.402595	932.5618317	775.0344515
RAD52		513.7761875	454.7984581	1085.266245	834.7490291	1357.944573	458.792933	542.3361741	657.7330352	206.8749243	400.7607565
BAD		1803.538255	2991.445672	1281.445272	5745.108702	1986.124653	3494.659341	1364.237261	1711.723268	1435.127093	2267.522786
LAP3		4276.630412	9551.649012	2627.639288	6350.877228	2038.410748	8081.469664	9934.926963	4105.440216	10428.22917	3864.807755
CD99		17210.05094	10785.59832	11196.70055	9801.334753	21104.90864	15437.82269	10538.51057	28348.11411	17038.47872	23682.88781
HS3ST1		486.6844111	609.0421212	1292.075663	86.01913072	246.4915892	398.3665467	341.8002117	113.2163421	8268.498285	504.4057797
AOC1		11.6107613	2.644177082	17.39518469	10.90383347	21.66138208	6.714042922	1.975723767	18.86939036	59.57131329	3.454834108
WNT16		9.675634416	3.525569443	10.63039065	10.90383347	263.671306	10.07106438	6.915033185	96.14403657	8.664918297	18.42578191
HECW1		85.14558286	7.932531246	1636.11376	15.74998168	1062.154666	4.476028615	0.987861884	181.5055644	376.9239459	225.7158284
MAD1L1		3585.790115	3083.110477	1475.691501	2980.381149	3524.829725	3088.459744	2286.90026	2198.733248	4822.027032	2807.628518
LASP1		12155.49952	17902.84163	9334.449386	19290.09295	14537.02821	13272.54385	23931.94199	14760.35597	26570.97196	9621.71299
SNX11		1020.779431	2407.963929	1144.216593	2177.132083	1055.432168	1506.183629	2002.396038	961.4403657	2151.065967	1333.565966
TMEM176A		1214.292119	2389.45469	824.3384746	6619.838454	2107.876559	3458.851112	1494.63503	14236.50575	2740.280411	801.521513
M6PR		3979.588435	5951.161219	2349.316333	3615.226564	2390.221471	2822.136041	5491.524211	3214.9847	4584.824894	2580.761078
KLHL13		813.7208544	366.659222	302.4829338	216.8651324	675.9845096	779.9479861	162.9972108	573.2700498	66.07000202	726.666774
CYP26B1		1362.329326	931.6317252	8664.734776	783.8644729	7819.011986	19.02312161	1370.164432	1870.765272	643.3701836	1814.939518
ICA1		86.1131463	427.4752949	1195.435748	201.1151507	1002.399129	646.7861348	639.1466386	471.7347589	396.4200121	360.4543586
DBNDD1		25.15664948	191.2621423	790.5145044	1259.998534	202.4218808	5917.309828	260.7955373	160.8390892	2894.082711	194.6223214
ALS2		1327.497042	2566.614554	2423.729067	1835.478634	1612.652548	2431.602545	3953.423258	1768.331439	978.0526528	2181.151933
CASP10		275.7555809	1166.963485	431.0140207	591.2300815	419.0357016	650.1431563	1167.652746	637.9651025	900.0683881	325.9060175
CFLAR		2004.791451	6466.77575	5187.630635	4609.898484	3521.841948	5216.81135	6090.168512	3759.501393	4570.744402	3084.015247
TFPI		1799.668001	2373.589627	5941.421972	2369.766474	938.1619272	286.4658313	1613.178456	2491.658069	4997.491628	3946.572162
NDUFAF7		554.413852	705.1138885	805.9768908	905.0181781	545.269273	675.8803208	728.0542082	704.4572399	600.0455921	677.1474851
RBM5		5680.564966	3925.721574	7070.176179	3738.803343	7523.222079	5850.169399	5491.524211	8023.085071	4903.260641	6047.1113
MTMR7		50.31329896	126.0391076	49.28635663	162.345965	25.39610312	93.99660091	40.50233722	39.53586551	43.32459149	89.8256868
SLC7A2		1151.400495	1034.754631	2591.882519	192.6343913	295.0429628	88.40156514	543.3240359	2246.355995	663.9493645	497.4961115
ARF5		6132.417093	4669.616727	6084.449046	13717.02251	5757.445967	8350.03138	6347.012602	6620.460387	3574.278798	5082.060973
SARM1		441.2089294	699.8255343	1195.435748	449.4802464	413.8070921	471.1020117	528.5061077	849.122566	736.5180553	318.9963493
POLDIP2		4807.822741	5619.757691	4334.300186	7404.914464	3759.370207	4430.149321	5411.507398	5395.747099	4911.92556	3430.650269
PLXND1		10780.59187	23090.71706	9894.960893	16134.03893	4828.247371	9450.015412	27296.59957	6633.039981	12347.50857	19199.66475
AK2		4349.19767	9961.49646	1918.302312	7566.048892	2446.242286	7043.031025	5661.436455	2814.23479	6170.504942	5257.105901
CD38		12.57832474	480.3588365	390.4252564	282.2881332	174.784945	212.6113592	1953.990806	92.54986698	1429.711519	69.09668216
FKBP4		7674.713219	4934.915827	3166.890013	12487.3124	8170.822708	3026.914351	3717.324268	6551.272623	10103.29473	4108.949365
KDM1A		5592.516692	3439.192991	2781.296753	4125.283663	4105.205376	3015.724279	3208.575398	3135.014426	5835.822473	14693.40946
RBM6		5833.439989	3476.21147	4570.101579	3746.072566	6269.849695	6134.397216	3543.460576	6689.648152	5509.804922	4896.651542
CAMKK1		742.1211597	1006.550076	1307.538049	1272.113905	570.6653761	559.5035768	515.6639032	522.9516756	413.7498487	568.8960164
RECQL		2999.446669	2372.708235	1041.778283	731.7683796	3239.497037	990.321331	2468.666847	1541.000212	3134.534194	2188.061602
VPS50		1092.379126	1255.984114	1797.502418	1314.517702	2453.711728	1094.388996	1159.749851	962.3389081	778.759532	579.2605187
HSPB6		1056.579278	121.6321458	8281.074313	61.78838967	4330.782527	747.4967786	349.7031068	1595.811299	109.3945935	4760.7614
ARHGAP33		941.4392287	385.1684616	1054.341472	1388.421462	1268.311268	1950.429469	477.1372897	1187.87305	1616.007262	4105.494531
NDUFAB1		2250.552565	2125.918374	1439.934733	4562.648539	1540.19896	1948.191454	1963.869424	1310.074816	3003.477305	1855.245916
PDK4		446.0467466	1039.161593	1677.668924	1717.95954	1141.330752	680.3563494	773.4958548	4464.857175	291.3578777	4433.703772
SLC22A16		3.870253766	5.288354164	22.22718044	3.634611157	63.49025781	2.238014307	18.76937579	48.52128948	53.07262457	17.27417054
ZMYND10		443.1440562	47.59518747	161.388658	216.8651324	115.0294083	306.6079601	69.15033185	123.1003085	58.48819851	41.45800929
ABCB5		11992.94886	1826.244971	2.899197449	23.01920399	34.35943364	1.119007154	10.86648072	79.07173101	16.24672181	27.63867286
ARX		0	12.33949305	4.831995748	10.90383347	142.666344	2.238014307	0	59.30379826	0	3.454834108
SLC25A13		627.9486736	1823.600794	1607.121786	2036.593785	2223.652912	783.3050075	1393.873118	1548.188552	1105.860198	1273.682174
ST7		2855.279716	965.1246349	1660.273739	1748.247967	1526.00702	1178.314533	932.5416181	1305.582104	1115.608231	760.0635037
CDC27		3863.480822	5939.703118	4840.69334	3412.899876	6335.580785	3095.173787	3613.59877	2912.175911	3739.99536	4989.932063
SLC4A1		2.902690325	4.406961803	5.798394898	4.846148209	12.69805156	1.119007154	6.915033185	1.797084796	1.083114787	35.69995245
CALCR		6.772944091	80.20670482	230.0029976	36.34611157	193.4585503	71.61645783	56.30812736	41.3329503	5.415573936	20.72900465
HCCS		965.6283147	1471.925242	471.602785	1578.632779	485.5137362	963.4651593	1086.648072	584.0525586	1960.437765	1749.29767
DVL2		3205.537682	2221.108749	2316.458762	2217.112806	2766.681352	2092.543377	2597.088892	1632.651537	2052.502522	2826.0543
PRSS22		2.902690325	2.644177082	1.932798299	3.634611157	17.92666103	0	4.939309418	0.898542398	191.7113173	5.758056846
UPF1		11320.49227	9711.181029	14608.08955	5181.743973	10631.25693	5872.549542	6743.145217	9228.928968	7469.159572	6910.819827
SKAP2		9877.855175	4532.119518	2731.043997	1579.844316	3769.827426	3851.622623	4883.00129	3296.752058	2199.806133	1388.843311
SLC25A5		15338.78324	12743.17075	4715.061451	10527.04545	4554.86579	6683.829729	14647.02815	7616.045364	9385.189631	12483.46724
MCUB		1938.029573	1055.026656	441.6444114	855.3451589	307.7410143	2014.212877	1194.325017	364.8082135	3160.528949	261.4157808
HOXA11		496.3600455	17.62784721	213.5742121	56.94224146	669.2620118	33.57021461	68.16246996	346.8373656	17.32983659	4113.555811
POLR2J		1247.189276	1909.095853	1276.613277	9182.23932	2690.493043	2265.989486	1441.290488	1387.349462	1475.20234	1327.807909
DHX33		1409.739934	1494.841444	1228.293319	1049.191087	1676.142806	1133.554247	1783.0907	963.2374505	1489.282832	1852.942693
MEOX1		130.6210646	155.1250555	653.2858251	110.2498718	30184.01551	30.21319315	461.3314996	8924.323096	41.15836191	4159.620266
THSD7A		1060.449532	974.8199509	4803.970173	110.2498718	2644.929446	1246.573969	1528.222334	656.8344928	164.6334476	3217.602166
LIG3		1711.619728	1303.579301	847.5320542	1232.133182	1245.155997	1106.698075	1545.015986	1360.39319	1118.857575	2227.216388
