ensembl	fca51e84-4783-4e3a-b4a0-85371ce84e43.htseq.counts	cb9beb00-4b21-454f-a865-726bd8120d46.htseq.counts	c1b63308-8e44-46e6-9d83-10e4f69898ff.htseq.counts	6b765cb3-2593-4776-bdfa-a560bc79ff52.htseq.counts	be630f1e-165e-45b7-b4f8-e80ac3ebe323.htseq.counts	d6b51a36-7ce9-4044-809b-e48e9213abd8.htseq.counts	5f86524f-b1b9-4511-9f23-3d5b34bb8cf4.htseq.counts	17fd8633-6271-45f3-9e8a-60d093be9e6b.htseq.counts	23758664-22b8-4bc5-9a03-061619380b20.htseq.counts	44db1348-8a8c-4ef2-99e9-e5a13a9c81ec.htseq.counts
ENSG00000000003	2608	1061	1511	1356	1390	2017	2323	3143	1682	644
ENSG00000000005	1643	9	229	90	451	418	677	1396	84	7
ENSG00000000419	1903	916	1092	1127	1350	2019	1639	3041	2211	397
ENSG00000000457	1147	401	513	409	415	1455	1023	772	1370	100
ENSG00000000460	447	173	228	121	212	385	268	296	294	11
ENSG00000000938	46	11	23	30	173	64	93	170	50	42
ENSG00000000971	810	92	72	44	3203	187	2994	278	935	1181
ENSG00000001036	3227	2010	1282	1830	1416	2311	3687	4512	3113	2530
ENSG00000001084	1818	720	608	427	625	1235	823	1193	1659	351
ENSG00000001167	6100	925	1274	1054	1099	2132	2103	1082	3121	313
ENSG00000001460	660	590	865	316	429	741	768	581	918	382
ENSG00000001461	2096	1713	1178	1199	1080	1808	3383	1819	3368	952
ENSG00000001497	4390	2725	2905	2924	3182	3701	2581	5906	3368	2335
ENSG00000001561	653	625	627	95	419	39	213	199	666	173
ENSG00000001617	3300	1331	1586	3706	3578	4068	2793	2833	1659	14249
ENSG00000001626	2	7	53	2	1	2	15	2	25	6
ENSG00000001629	5712	2184	2171	1990	1140	5217	3215	2846	6258	356
ENSG00000001630	513	35	42	92	49	239	127	122	269	29
ENSG00000001631	3198	806	1066	572	876	2527	2544	1594	3346	172
ENSG00000002016	1164	343	365	498	328	1208	809	447	1228	246
ENSG00000002079	29	19	6	26	4	24	1	47	19	13
ENSG00000002330	2011	3058	2927	3485	2749	1838	1685	3688	2292	7816
ENSG00000002549	4337	1054	1830	2134	3464	4627	3061	6084	3608	949
ENSG00000002586	19330	13020	13694	26057	23040	29465	9294	48045	12692	13783
ENSG00000002587	267	1279	232	167	85	87	156	330	494	993
ENSG00000002726	4	0	0	7	13	11	2	23	1	8
ENSG00000002745	23	1	225	0	221	24	6	19	3542	4
ENSG00000002746	39	14	8	100	40	87	361	137	296	8
ENSG00000002822	1765	1810	2061	2204	2427	2324	1947	4379	2772	6094
ENSG00000002834	12250	8315	8233	7050	8734	11755	13475	11442	11476	2200
ENSG00000002919	1024	705	856	1048	1100	1612	842	1951	1205	775
ENSG00000002933	87	43	930	108	621	501	142	1766	60	115
ENSG00000003056	2334	417	559	416	1184	2649	1609	1766	2580	68
ENSG00000003096	341	215	634	25	259	160	1636	995	388	69
ENSG00000003137	3880	2462	1075	1466	3453	1252	5766	4420	7474	782
ENSG00000003147	608	1989	1978	1830	668	1079	432	649	782	283
ENSG00000003249	362	598	1693	173	602	371	77	730	237	656
ENSG00000003393	2682	764	846	604	1333	2049	1451	1515	2644	356
ENSG00000003400	171	44	45	176	445	398	608	262	125	86
ENSG00000003402	7068	4205	2330	2407	5223	8192	3638	4927	4590	2704
ENSG00000003436	404	550	50	278	996	539	336	303	212	64
ENSG00000003509	997	890	769	768	1137	1300	860	1677	1235	456
ENSG00000003756	5680	3266	3463	6703	5428	13072	6573	7061	6794	1916
ENSG00000003987	29	35	37	57	36	42	24	50	80	14
ENSG00000003989	55	59	25	8	410	34	219	216	174	56
ENSG00000004059	7196	8553	9659	7436	8341	7729	5709	13817	7011	2510
ENSG00000004139	971	324	219	261	309	509	483	623	877	41
ENSG00000004142	6622	5773	4680	5359	5623	6198	4510	9306	7228	3090
ENSG00000004399	13157	1443	1205	10791	14690	14125	4815	12433	2953	16859
ENSG00000004455	2698	4164	3775	3470	4003	5292	3251	8415	4821	2862
ENSG00000004468	9	8	8	7	53	12	71	40	19	1
ENSG00000004478	9003	1949	5648	6664	4973	6443	4726	8199	5192	4985
ENSG00000004487	5650	4470	6664	6561	4710	9149	5381	10859	7916	5131
ENSG00000004534	5416	3442	2779	5217	4818	5699	4110	7516	4618	2633
ENSG00000004660	1052	1282	574	890	1016	826	610	4203	558	2948
ENSG00000004700	2265	177	188	100	655	1462	1795	404	3209	12
ENSG00000004766	1816	631	702	521	713	1493	1542	799	2180	220
ENSG00000004776	2505	1471	189	2616	17437	2627	1592	7176	1038	1976
ENSG00000004777	1726	1558	1461	1689	1150	1807	1645	1289	1212	399
ENSG00000004779	2550	2055	1754	3058	2999	2508	1222	3887	2114	5040
ENSG00000004799	235	2839	34	52	6183	150	662	40	114	831
ENSG00000004809	7	1	8	9	1	5	11	6	2	44
ENSG00000004838	61	42	321	112	64	51	71	151	62	656
ENSG00000004846	18	0	3	3	1	0	0	0	3	3
ENSG00000004848	2	0	6	89	302	1	557	7	973	4
ENSG00000004864	839	594	512	361	497	729	734	1074	1294	159
ENSG00000004866	1259	918	703	469	990	1221	1014	1650	1126	628
ENSG00000004897	4444	2758	2065	2134	2089	5156	3443	3874	6591	1274
ENSG00000004939	1	2	2	10	3	0	0	5	1	18
ENSG00000004948	1	0	7	1	21	1	24	5	3	5
ENSG00000004961	997	410	589	467	671	972	578	1489	824	421
ENSG00000004975	5700	2140	2274	3857	3173	5867	4996	5511	5992	3477
ENSG00000005001	0	3	1021	1	1	4	3	1258	23	14
