entrez	cytoband	symbol
1	403263	1p36.33	OR4G11P
2	79501	1p36.33	OR4F5
3	100420257	1p36.33	CICP27
4	106480049	1p36.33	RNU6-1100P
5	102465909	1p36.33	MIR6859-2
6	106479030	1p36.33	WBP1LP7
7	729759	1p36.33	OR4F29
8	100288667	1p36.33	CICP7
9	100887749	1p36.33	MTND1P23
10	100652939	1p36.33	MTND2P28
11	106480795	1p36.33	MTATP8P1
12	106480796	1p36.33	MTATP6P1
13	106481797	1p36.33	WBP1LP6
14	81399	1p36.33	OR4F16
15	100132630	1p36.33	CICP3
16	106480091	1p36.33	RNU6-1199P
17	400728	1p36.33	FAM87B
18	643837	1p36.33	LINC01128
19	79854	1p36.33	LINC00115
20	284593	1p36.33	FAM41C
21	388579	1p36.33	TUBB8P11
22	148398	1p36.33	SAMD11
23	26155	1p36.33	NOC2L
24	339451	1p36.33	KLHL17
25	84069	1p36.33	PLEKHN1
26	84808	1p36.33	PERM1
27	57801	1p36.33	HES4
28	9636	1p36.33	ISG15
29	375790	1p36.33	AGRN
30	401934	1p36.33	RNF223
31	54991	1p36.33	C1orf159
32	254099	1p36.33	LINC01342
33	406984	1p36.33	MIR200B
34	406983	1p36.33	MIR200A
35	554210	1p36.33	MIR429
36	100506376	1p36.33	TTLL10-AS1
37	254173	1p36.33	TTLL10
38	8784	1p36.33	TNFRSF18
39	7293	1p36.33	TNFRSF4
40	51150	1p36.33	SDF4
41	126792	1p36.33	B3GALT6
42	118424	1p36.33	UBE2J2
43	6339	1p36.33	SCNN1D
44	116983	1p36.33	ACAP3
45	102465434	1p36.33	MIR6726
46	126789	1p36.33	PUSL1
47	102465435	1p36.33	MIR6727
48	80772	1p36.33	CPTP
49	83756	1p36.33	TAS1R3
50	1855	1p36.33	DVL1
51	102466740	1p36.33	MIR6808
52	54587	1p36.33	MXRA8
53	54998	1p36.33	AURKAIP1
54	81669	1p36.33	CCNL2
55	55052	1p36.33	MRPL20
56	107074708	1p36.33	RN7SL657P
57	441869	1p36.33	ANKRD65
58	643965	1p36.33	TMEM88B
59	64856	1p36.33	VWA1
60	219293	1p36.33	ATAD3C
61	83858	1p36.33	ATAD3B
62	55210	1p36.33	ATAD3A
63	339453	1p36.33	TMEM240
64	29101	1p36.33	SSU72
65	142678	1p36.33	MIB2
66	8510	1p36.33	MMP23B
67	984	1p36.33	CDK11B
68	728661	1p36.33	SLC35E2B
69	8511	1p36.33	MMP23A
70	728642	1p36.33	CDK11A
71	65220	1p36.33	NADK
72	2782	1p36.33	GNB1
73	163688	1p36.33	CALML6
74	339456	1p36.33	TMEM52
75	85452	1p36.33	CFAP74
76	2563	1p36.33	GABRD
77	5590	1p36.33	PRKCZ
78	6497	1p36.33-p36.32	SKI
79	79906	1p36.32	MORN1
80	11079	1p36.32	RER1
81	5192	1p36.32	PEX10
82	9651	1p36.32	PLCH2
83	55229	1p36.32	PANK4
84	388585	1p36.32	HES5
85	8764	1p36.32	TNFRSF14
86	79258	1p36.32	MMEL1
87	100287898	1p36.32	TTC34
88	140625	1p36.32	ACTRT2
89	63976	1p36.32	PRDM16
90	27237	1p36.32	ARHGEF16
91	1953	1p36.32	MEGF6
92	693135	1p36.32	MIR551A
93	127262	1p36.32	TPRG1L
94	49856	1p36.32	WRAP73
95	7161	1p36.32	TP73
96	57212	1p36.32	TP73-AS1
97	57212	1p36.32	TP73-AS1
98	148870	1p36.32	CCDC27
99	388588	1p36.32	SMIM1
100	57470	1p36.32	LRRC47
101	106481079	1p36.32	RN7SL574P
102	9731	1p36.32	CEP104
103	1677	1p36.32	DFFB
104	339448	1p36.32	C1orf174
105	100133612	1p36.32	LINC01134
106	728716	1p36.32	LINC01346
107	644357	1p36.32	EEF1DP6
108	55966	1p36.32	AJAP1
109	100616421	1p36.31	MIR4689
110	261734	1p36.31	NPHP4
111	8514	1p36.31	KCNAB2
112	26038	1p36.31	CHD5
113	6146	1p36.31	RPL22
114	388591	1p36.31	RNF207
115	23463	1p36.31	ICMT
116	148645	1p36.31	LINC00337
117	390992	1p36.31	HES3
118	387509	1p36.31	GPR153
119	11332	1p36.31	ACOT7
120	54626	1p36.31	HES2
121	83715	1p36.31	ESPN
122	100422975	1p36.31	MIR4252
123	8718	1p36.31	TNFRSF25
124	57449	1p36.31	PLEKHG5
125	79707	1p36.31	NOL9
126	106481411	1p36.31	RNU6-731P
127	80835	1p36.31	TAS1R1
128	3104	1p36.31	ZBTB48
129	9903	1p36.31	KLHL21
130	148479	1p36.31	PHF13
131	90326	1p36.31	THAP3
132	55735	1p36.31	DNAJC11
133	23261	1p36.31-p36.23	CAMTA1
134	106481604	1p36.23	RNU1-8P
135	100874340	1p36.23	CAMTA1-IT1
136	9341	1p36.23	VAMP3
137	8863	1p36.23	PER3
138	10911	1p36.23	UTS2
139	3604	1p36.23	TNFRSF9
140	11315	1p36.23	PARK7
141	54206	1p36.23	ERRFI1
142	106481952	1p36.23	RNU1-7P
143	106480004	1p36.23	RNU6-991P
144	50651	1p36.23	SLC45A1
145	473	1p36.23	RERE
146	677843	1q32.1	SNORA77
147	100270823	1p36.23	RPL7P11
148	644896	1p36.23	RPL7P7
149	2023	1p36.23	ENO1
150	102465436	1p36.23	MIR6728
151	106480431	1p36.23	ENO1-IT1
152	100505975	1p36.23	ENO1-AS1
153	106481275	1p36.23	RNU6-304P
154	100113373	1p36.23	HMGN2P17
155	765	1p36.23	CA6
156	106480377	1p36.23	RN7SL451P
157	155184	1p36.23	SLC2A7
158	6518	1p36.23	SLC2A5
159	677781	17q25.2	SCARNA16
160	80045	1p36.22	GPR157
161	407040	1p36.22	MIR34A
162	9563	1p36.22	H6PD
163	80176	1p36.22	SPSB1
164	100873279	1p36.22	RNA5SP40
165	84275	1p36.22	SLC25A33
166	199953	1p36.22	TMEM201
167	5293	1p36.22	PIK3CD
168	644997	1p36.22	PIK3CD-AS1
169	101929074	1p36.22	PIK3CD-AS2
170	22883	1p36.22	CLSTN1
171	106480302	1p36.22	MZT1P1
172	56998	1p36.22	CTNNBIP1
173	84328	1p36.22	LZIC
174	64802	1p36.22	NMNAT1
175	106480915	1p36.22	RN7SKP269
176	100847055	1p36.22	MIR5697
177	116362	1p36.22	RBP7
178	10277	1p36.22	UBE4B
179	100420660	1p36.22	PGAM1P11
180	106479932	1p36.22	RNU6-828P
181	23095	1p36.22	KIF1B
182	106478920	1p36.22	RNU6-37P
183	107048981	1p36.22	RN7SL731P
184	5226	1p36.22	PGD
185	1325	1p36.22	CORT
186	1676	1p36.22	DFFA
187	5195	1p36.22	PEX14
188	106481089	1p36.22	RN7SL614P
189	54897	1p36.22	CASZ1
190	106480259	1p36.22	HSPE1P24
191	148345	1p36.22	C1orf127
192	390996	1p36.22	CFL1P6
193	23435	1p36.22	TARDBP
194	23435	1p36.22	TARDBP
195	10747	1p36.22	MASP2
196	6723	1p36.22	SRM
197	5394	1p36.22	EXOSC10
198	2475	1p36.22	MTOR
199	100873935	1p36.22	MTOR-AS1
200	106479804	1p36.22	RNU6-537P
201	10218	1p36.22	ANGPTL7
202	106479696	1p36.22	RNU6-291P
203	100270891	1p36.22	RPL39P6
204	29914	1p36.22	UBIAD1
205	100421341	1p36.22	UBE2V2P3
206	26232	1p36.22	FBXO2
207	93611	1p36.22	FBXO44
208	26270	1p36.22	FBXO6
209	10459	1p36.22	MAD2L2
210	374946	1p36.22	DRAXIN
211	57085	1p36.22	AGTRAP
212	284498	1p36.22	C1orf167
213	4524	1p36.22	MTHFR
214	1185	1p36.22	CLCN6
215	100379251	1p36.22	NPPA-AS1
216	4878	1p36.22	NPPA
217	4879	1p36.22	NPPB
